,X_train,y_train
24,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10018.jpg,cat
25,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10019.jpg,cat
26,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.1002.jpg,cat
27,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10020.jpg,cat
28,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10021.jpg,cat
29,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10022.jpg,cat
30,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10023.jpg,cat
31,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10024.jpg,cat
32,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10025.jpg,cat
33,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10026.jpg,cat
34,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10027.jpg,cat
35,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10028.jpg,cat
36,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10029.jpg,cat
37,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.1003.jpg,cat
38,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10030.jpg,cat
39,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10031.jpg,cat
40,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10032.jpg,cat
41,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10033.jpg,cat
42,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10034.jpg,cat
43,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10035.jpg,cat
44,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10036.jpg,cat
45,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10037.jpg,cat
46,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10038.jpg,cat
47,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10039.jpg,cat
48,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.1004.jpg,cat
49,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10040.jpg,cat
50,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10041.jpg,cat
51,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10042.jpg,cat
52,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10043.jpg,cat
53,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10044.jpg,cat
54,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10045.jpg,cat
55,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10046.jpg,cat
56,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10047.jpg,cat
57,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10048.jpg,cat
58,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10049.jpg,cat
59,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.1005.jpg,cat
60,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10050.jpg,cat
61,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10051.jpg,cat
62,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10052.jpg,cat
63,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10053.jpg,cat
64,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10054.jpg,cat
65,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10055.jpg,cat
66,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10056.jpg,cat
67,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10057.jpg,cat
68,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10058.jpg,cat
69,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10059.jpg,cat
70,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.1006.jpg,cat
71,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10060.jpg,cat
72,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10061.jpg,cat
73,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10062.jpg,cat
74,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10063.jpg,cat
75,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10064.jpg,cat
76,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10065.jpg,cat
77,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10066.jpg,cat
78,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10067.jpg,cat
79,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10068.jpg,cat
80,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10069.jpg,cat
81,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.1007.jpg,cat
82,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10070.jpg,cat
83,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10071.jpg,cat
84,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10072.jpg,cat
85,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10073.jpg,cat
86,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10074.jpg,cat
87,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10075.jpg,cat
88,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10076.jpg,cat
89,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10077.jpg,cat
90,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10078.jpg,cat
91,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10079.jpg,cat
92,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.1008.jpg,cat
93,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10080.jpg,cat
94,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10081.jpg,cat
95,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10082.jpg,cat
96,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10083.jpg,cat
97,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10084.jpg,cat
98,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10085.jpg,cat
99,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10086.jpg,cat
100,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10087.jpg,cat
101,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10088.jpg,cat
102,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10089.jpg,cat
103,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.1009.jpg,cat
104,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10090.jpg,cat
105,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10091.jpg,cat
106,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10092.jpg,cat
107,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10093.jpg,cat
108,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10094.jpg,cat
109,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10095.jpg,cat
110,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10096.jpg,cat
111,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10097.jpg,cat
112,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10098.jpg,cat
113,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10099.jpg,cat
114,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.101.jpg,cat
115,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.1010.jpg,cat
116,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10100.jpg,cat
117,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10101.jpg,cat
118,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10102.jpg,cat
119,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10103.jpg,cat
120,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10104.jpg,cat
121,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10105.jpg,cat
122,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10106.jpg,cat
123,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10107.jpg,cat
124,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10108.jpg,cat
125,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10109.jpg,cat
126,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.1011.jpg,cat
127,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10110.jpg,cat
128,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10111.jpg,cat
129,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10112.jpg,cat
130,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10113.jpg,cat
131,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10114.jpg,cat
132,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10115.jpg,cat
133,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10116.jpg,cat
134,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10117.jpg,cat
135,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10118.jpg,cat
136,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10119.jpg,cat
137,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.1012.jpg,cat
138,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10120.jpg,cat
139,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10121.jpg,cat
140,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10122.jpg,cat
141,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10123.jpg,cat
142,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10124.jpg,cat
143,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10125.jpg,cat
144,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10126.jpg,cat
145,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10127.jpg,cat
146,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10128.jpg,cat
147,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10129.jpg,cat
148,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.1013.jpg,cat
149,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10130.jpg,cat
150,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10131.jpg,cat
151,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10132.jpg,cat
152,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10133.jpg,cat
153,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10134.jpg,cat
154,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10135.jpg,cat
155,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10136.jpg,cat
156,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10137.jpg,cat
157,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10138.jpg,cat
158,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10139.jpg,cat
159,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.1014.jpg,cat
160,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10140.jpg,cat
161,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10141.jpg,cat
162,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10142.jpg,cat
163,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10143.jpg,cat
164,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10144.jpg,cat
165,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10145.jpg,cat
166,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10146.jpg,cat
167,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10147.jpg,cat
168,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10148.jpg,cat
169,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10149.jpg,cat
170,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.1015.jpg,cat
171,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10150.jpg,cat
172,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10151.jpg,cat
173,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10152.jpg,cat
174,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10153.jpg,cat
175,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10154.jpg,cat
176,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10155.jpg,cat
177,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10156.jpg,cat
178,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10157.jpg,cat
179,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10158.jpg,cat
180,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10159.jpg,cat
181,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.1016.jpg,cat
182,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10160.jpg,cat
183,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10161.jpg,cat
184,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10162.jpg,cat
185,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10163.jpg,cat
186,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10164.jpg,cat
187,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10165.jpg,cat
188,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10166.jpg,cat
189,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10167.jpg,cat
190,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10168.jpg,cat
191,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10169.jpg,cat
192,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.1017.jpg,cat
193,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10170.jpg,cat
194,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10171.jpg,cat
195,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10172.jpg,cat
196,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10173.jpg,cat
197,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10174.jpg,cat
198,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10175.jpg,cat
199,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10176.jpg,cat
200,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10177.jpg,cat
201,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10178.jpg,cat
202,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10179.jpg,cat
203,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.1018.jpg,cat
204,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10180.jpg,cat
205,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10181.jpg,cat
206,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10182.jpg,cat
207,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10183.jpg,cat
208,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10184.jpg,cat
209,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10185.jpg,cat
210,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10186.jpg,cat
211,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10187.jpg,cat
212,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10188.jpg,cat
213,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10189.jpg,cat
214,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.1019.jpg,cat
215,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10190.jpg,cat
216,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10191.jpg,cat
217,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10192.jpg,cat
218,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10193.jpg,cat
219,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10194.jpg,cat
220,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10195.jpg,cat
221,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10196.jpg,cat
222,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10197.jpg,cat
223,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10198.jpg,cat
224,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10199.jpg,cat
225,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.102.jpg,cat
226,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.1020.jpg,cat
227,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10200.jpg,cat
228,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10201.jpg,cat
229,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10202.jpg,cat
230,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10203.jpg,cat
231,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10204.jpg,cat
232,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10205.jpg,cat
233,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10206.jpg,cat
234,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10207.jpg,cat
235,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10208.jpg,cat
236,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10209.jpg,cat
237,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.1021.jpg,cat
238,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10210.jpg,cat
239,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10211.jpg,cat
240,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10212.jpg,cat
241,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10213.jpg,cat
242,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10214.jpg,cat
243,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10215.jpg,cat
244,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10216.jpg,cat
245,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10217.jpg,cat
246,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10218.jpg,cat
247,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10219.jpg,cat
248,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.1022.jpg,cat
249,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10220.jpg,cat
250,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10221.jpg,cat
251,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10222.jpg,cat
252,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10223.jpg,cat
253,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10224.jpg,cat
254,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10225.jpg,cat
255,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10226.jpg,cat
256,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10227.jpg,cat
257,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10228.jpg,cat
258,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10229.jpg,cat
259,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.1023.jpg,cat
260,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10230.jpg,cat
261,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10231.jpg,cat
262,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10232.jpg,cat
263,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10233.jpg,cat
264,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10234.jpg,cat
265,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10235.jpg,cat
266,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10236.jpg,cat
267,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10237.jpg,cat
268,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10238.jpg,cat
269,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10239.jpg,cat
270,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.1024.jpg,cat
271,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10240.jpg,cat
272,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10241.jpg,cat
273,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10242.jpg,cat
274,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10243.jpg,cat
275,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10244.jpg,cat
276,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10245.jpg,cat
277,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10246.jpg,cat
278,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10247.jpg,cat
279,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10248.jpg,cat
280,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10249.jpg,cat
281,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.1025.jpg,cat
282,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10250.jpg,cat
283,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10251.jpg,cat
284,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10252.jpg,cat
285,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10253.jpg,cat
286,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10254.jpg,cat
287,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10255.jpg,cat
288,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10256.jpg,cat
289,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10257.jpg,cat
290,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10258.jpg,cat
291,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10259.jpg,cat
292,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.1026.jpg,cat
293,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10260.jpg,cat
294,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10261.jpg,cat
295,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10262.jpg,cat
296,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10263.jpg,cat
297,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10264.jpg,cat
298,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10265.jpg,cat
299,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10266.jpg,cat
300,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10267.jpg,cat
301,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10268.jpg,cat
302,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10269.jpg,cat
303,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.1027.jpg,cat
304,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10270.jpg,cat
305,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10271.jpg,cat
306,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10272.jpg,cat
307,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10273.jpg,cat
308,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10274.jpg,cat
309,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10275.jpg,cat
310,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10276.jpg,cat
311,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10277.jpg,cat
312,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10278.jpg,cat
313,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10279.jpg,cat
314,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.1028.jpg,cat
315,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10280.jpg,cat
316,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10281.jpg,cat
317,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10282.jpg,cat
318,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10283.jpg,cat
319,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10284.jpg,cat
320,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10285.jpg,cat
321,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10286.jpg,cat
322,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10287.jpg,cat
323,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10288.jpg,cat
324,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10289.jpg,cat
325,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.1029.jpg,cat
326,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10290.jpg,cat
327,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10291.jpg,cat
328,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10292.jpg,cat
329,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10293.jpg,cat
330,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10294.jpg,cat
331,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10295.jpg,cat
332,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10296.jpg,cat
